text,label,label_name
i'm due a refund and it is not on my statement.,44,Refund_not_showing_up
explain why my top up has been reverted please.,25,top_up_reverted
i need to change my data.,28,edit_personal_details
the exchange rate is wrong from something i got in another country,3,card_payment_wrong_exchange_rate
do you process swift transfers?,15,top_up_by_bank_transfer_charge
"i just noticed that i supposedly made a payment to a seller a while back. the problem is, i don't recognize the seller. there must be a way to see who it is or track the payment. can you do that, because i don't remember this transaction?",37,direct_debit_payment_not_recognised
"if i found an error in my account for a transaction i didn't make, how long to i have to dispute it?",37,direct_debit_payment_not_recognised
do you have the option for a disposable virtual card?,65,get_disposable_virtual_card
can i add to my account using a cheque?,61,top_up_by_cash_or_cheque
i need help with my card!!!!! please. it keeps getting declined when i try to use it. i have tried a few times to use it and it keeps getting rejected. i have no idea why.,45,declined_card_payment
$20 came out instead of $100,19,wrong_amount_of_cash_received
everything was stolen from me. i can't use the app. please advise.,41,lost_or_stolen_phone
can i top up my balance with a cheque?,61,top_up_by_cash_or_cheque
can i use this app to exchange currencies?,10,exchange_via_app
can you give me info about what to do when my card expires?,73,card_about_to_expire
is it possible to use my apple watch for topping up?,74,apple_pay_or_google_pay
why is there a charge when i took out money?,72,cash_withdrawal_charge
are there charges for using a bank card to top up,70,top_up_by_card_charge
what do i do if my card gets broken?,9,card_not_working
why isn't my topup working?,66,top_up_failed
the atm stole my card!,48,card_swallowed
i need a new pin number.,13,pin_blocked
"i'm checking my statements and i saw a purchase from a couple weeks ago that i don't recall at all. not only that, but i don't even know the business that charged it. i'm not sure if i did it or not, but can we check it and see if we can trace it back to make certain?",37,direct_debit_payment_not_recognised
"hello, i noticed there is a payment from my card to a business that i am not familiar with. i definitely did not make this payment.",27,card_payment_not_recognised
i want to end my account,47,terminate_account
why hasn't my cash arrived yet from my cheque?!,26,balance_not_updated_after_cheque_or_cash_deposit
my statement contained a one pound extra fee,4,extra_charge_on_statement
is there a way to do automatic top up,8,automatic_top_up
i made a transaction to the wrong account!,17,cancel_transfer
how long does a transfer take?,46,pending_transfer
please provide me a list of atms that accept my card.,36,atm_support
i would like for someone to tell me which fiat currencies that your company supports.,6,fiat_currency_support
what do you charge for an exchange fee?,69,exchange_charge
help me terminate and close my account.,47,terminate_account
"how long do transfers to international banks take? i made one to france a couple of days ago, but it's still not there.",67,balance_not_updated_after_bank_transfer
i found a direct debit i would like to dispute,37,direct_debit_payment_not_recognised
i'd like to provide my daughter with a card - could i get an additional card from my account to give her?,60,getting_spare_card
"my pin is unlocked, what do i do?",13,pin_blocked
how can i transfer some money into a foreign account?,58,transfer_into_account
when will i get my refund?,44,Refund_not_showing_up
i'm trying to activate the auto-top up function. where is it?,8,automatic_top_up
i have to make more then a few disposable cards per day.,34,disposable_card_limits
could i chose the date to have it delivered?,7,card_delivery_estimate
"i need a card reactivation, i had reported my card lost but i ran across it in my jacket.",1,card_linking
"using google pay, can i top up?",74,apple_pay_or_google_pay
my payment did not go through because the app reverted it,52,reverted_card_payment?
i'm not recognizing the card payment.,27,card_payment_not_recognised
it's been a couple days how much longer do i have to wait for my transfer?,51,transfer_timing
i requested a refund from next because the dress i purchased had three arm holes. they said they sent the refund last wednesday which is nearly a week ago and i still don't have it. why not?,44,Refund_not_showing_up
are there limits to businesses that will accept this card?,24,card_acceptance
why was my cash withdrawal cancelled at the atm?,39,declined_cash_withdrawal
i would like to know more about what a disposable virtual card is?,65,get_disposable_virtual_card
i lost my phone. what do i do to block someone else from using my account?,41,lost_or_stolen_phone
"my card has been declined by two separate atm, and i'm worried something is wrong with my account. would you please see if my account is okay?",39,declined_cash_withdrawal
the atm didnt let me get cash,39,declined_cash_withdrawal
will the system automatically update once there is no more money left?,8,automatic_top_up
why can't i get cash from the atm?,39,declined_cash_withdrawal
"apple watch top up help, please?",74,apple_pay_or_google_pay
can i use apple pay to top-up?,74,apple_pay_or_google_pay
i'm checking the app and i see a payment that's not mine.,27,card_payment_not_recognised
i topped up my card but the app rejected it.,66,top_up_failed
as far as courtries go which ones are supported?,76,country_support
can i auto-top up? how do i do it?,8,automatic_top_up
what is the age requirement?,12,age_limit
can i open up an account for my child?,12,age_limit
when will the balance on my account change form a transfer,67,balance_not_updated_after_bank_transfer
i did not ask for the amount of cash that i received.,19,wrong_amount_of_cash_received
there is a withdrawal waiting.,5,pending_cash_withdrawal
how can i change my name in my profile?,28,edit_personal_details
how long do i have to wait for europe transfers?,51,transfer_timing
"i have a disposable card, how many transactions can i make?",34,disposable_card_limits
is there a frequent currency discount?,69,exchange_charge
why do some of my payments have fees? i don't understand.,20,card_payment_fee_charged
how long is us delivery?,7,card_delivery_estimate
the top-up i ordered didn't process.,66,top_up_failed
how much does currency exchange cost?,69,exchange_charge
does it cost much or take long to get a new card? mine is about to expire.,73,card_about_to_expire
"if my account is low in funds, can i set an auto top-up?",8,automatic_top_up
the app reverted my recent payment,52,reverted_card_payment?
help my prove my identity.,30,unable_to_verify_identity
i only have one other credit card from the us. do you accept that?,22,supported_cards_and_currencies
my disposable virtual card won't work.,63,virtual_card_not_working
i want to transfer money using my credit card.,33,topping_up_by_card
why was i charged for withdrawing cash?,72,cash_withdrawal_charge
"if i need to transfer something quick from china, how long does that take?",51,transfer_timing
my top-up was rejected,66,top_up_failed
"i didn't want to make a transaction, i want to revert it",17,cancel_transfer
verify top-up card help?,59,verify_top_up
what steps do i take to unblock my pin?,13,pin_blocked
i recently bought something in foreign currency and i am unsure of the exchange rate. is this rate applied correctly?,3,card_payment_wrong_exchange_rate
i tried to do a transfer but i got a message that it was declined.,43,declined_transfer
help my find the verification code on a top-up.,59,verify_top_up
why isn't my balance updating after depositing cheques and cash.,26,balance_not_updated_after_cheque_or_cash_deposit
my account says i have a pending transfer.,46,pending_transfer
i made an atm withdraw it didn't give me the amount i asked for but is showing a withdraw for that amount.,19,wrong_amount_of_cash_received
please update me on whether you have received the funds for the refund of the large purchase i made recently. i have requested this from the merchant days ago but still haven't got anything.,44,Refund_not_showing_up
my google pay top up isn't working. help.,74,apple_pay_or_google_pay
"i'd lke my card reactivated, i was thinking it was misplaced but i discovered when i woke up that i had left it in my coat.",1,card_linking
why was my top-up declined?,25,top_up_reverted
can i have another card in addition to my first one?,60,getting_spare_card
do you accept visa or mastercard?,32,visa_or_mastercard
can you tell me the restrictions for the disposable cards?,34,disposable_card_limits
what is the source of the money in my account?,50,verify_source_of_funds
is the identity check part of bank policy?,29,why_verify_identity
where's the money from my transfer from europe?,51,transfer_timing
how to modify my details.,28,edit_personal_details
"after inputting the wrong pin too many times, can you now help me unblock my pin?",13,pin_blocked
why can't i see a transfer to my account?,67,balance_not_updated_after_bank_transfer
i was wrongfully charged one pound.,4,extra_charge_on_statement
can i change my pin abroad?,53,change_pin
am i able to have a card sent to china?,73,card_about_to_expire
where is an atm?,36,atm_support
my top up isnt there yet where do i find it,33,topping_up_by_card
i have an outgoing transfer,46,pending_transfer
a false direct debit payment is showing in my app,37,direct_debit_payment_not_recognised
is there a few for exchanging foreign currencies?,69,exchange_charge
i anticipate getting a visa card,32,visa_or_mastercard
what do i do if i detect fraudulent use on my car?,35,compromised_card
why has my card payment been reversed?,52,reverted_card_payment?
is there a mastercard atm nearby?,36,atm_support
"i locked myself out of my account, how do i unblock my pin?",13,pin_blocked
what do i need to do to verify my funds?,50,verify_source_of_funds
what should i do if i think there are unauthorized transactions?,35,compromised_card
can i have a new card shipped to china?,73,card_about_to_expire
my top-up is still pending,16,pending_top_up
what kind of businesses will take my card?,24,card_acceptance
i have a contactless that's broken.,14,contactless_not_working
"my card was supposed to arrive, but hasn't?",0,card_arrival
i was charged an extra fee for a card payment. i was unaware of these fees beforehand.,20,card_payment_fee_charged
"i am dissatisfied, i would like to close my account.",47,terminate_account
my atm card isn't working for a withdrawl,39,declined_cash_withdrawal
could i get a mastercard and visa from you?,32,visa_or_mastercard
when can i expect delivery?,7,card_delivery_estimate
why is there an extra fee on a transfer?,55,transfer_fee_charged
is there a problem with my account? when i tried to withdraw cash at an atm i was denied.,39,declined_cash_withdrawal
"my money is gone. i had topped up recently and saw it was there and went through, but now it's disappeared, what's going on?",25,top_up_reverted
i think there has been a mistake with my transfer,43,declined_transfer
i need to cancel a transfer,17,cancel_transfer
what can i do if i got my american express in apple bay but top up is not working?,74,apple_pay_or_google_pay
"i have never been charged for making an atm cash withdrawal before, but i am now being charged a fee to withdraw cash. what happened?",72,cash_withdrawal_charge
this exchange rate you use is awful! please tell me this is a mistake and not the official interbank exchange rate!,3,card_payment_wrong_exchange_rate
are there businesses that don't accept this card?,24,card_acceptance
i would like to know how my friend would be able to send me money,56,receiving_money
is it possible to get both a visa and a mastercard?,32,visa_or_mastercard
i have lost my credit card in the atm!,48,card_swallowed
why do i have to give you my drivers license,29,why_verify_identity
i received incorrect amount of cash from an atm today. it was more than i wanted. what do i do now?,19,wrong_amount_of_cash_received
i wanted to know why there is a transfer of mine pending.,46,pending_transfer
i can't remember my passcode.,38,passcode_forgotten
how do i verify my identity online,75,verify_my_identity
i recently deposited a cheque and cannot find the cash from it.,26,balance_not_updated_after_cheque_or_cash_deposit
i'm confused. my contactless is suddenly not working anywhere that i try to use it. how do i fix it?,14,contactless_not_working
why should i have to prove my identity?,29,why_verify_identity
"i was charged for a cash withdrawal, why?",72,cash_withdrawal_charge
"the atm will not let me get cash, why?",39,declined_cash_withdrawal
my address details have changed and i want to update them,28,edit_personal_details
what flat currencies do you support for holding and exchange?,6,fiat_currency_support
will the duplicated payment be refunded?,49,transaction_charged_twice
i need to know what your exchange rates are.,2,exchange_rate
please tell me how to verify my top up card.,59,verify_top_up
what is the formula for your exchange rate?,2,exchange_rate
"i've tried many times to make a payment, but it's not going through. what's wrong?",45,declined_card_payment
how can i check on the status of my new card?,0,card_arrival
"hello, what is a virtual card and how do i get one?",23,getting_virtual_card
can i have more than one card?,60,getting_spare_card
how do i modify my details?,28,edit_personal_details
when going to the atm to take out some cash today my withdrawal was declined. i need to fix this problem as soon as possible. whats going on?,39,declined_cash_withdrawal
i bought something that i need a refund for.,42,request_refund
will i get a visa card or mastercard?,32,visa_or_mastercard
how can correct top up with the app to work correctly?,66,top_up_failed
unable to use my american express with apple pay to top up my account,74,apple_pay_or_google_pay
"if the atm only gave me 10 pounds instead of the 30 i requested, what do i do?",19,wrong_amount_of_cash_received
i want to know where my money comes from.,50,verify_source_of_funds
i see a duplicate payment.,49,transaction_charged_twice
can i get money in my home currency at my atm ?i am on holiday and bit concerned because i do not have any cash with me .is it possible to withdraw without any additional cost.,64,wrong_exchange_rate_for_cash_withdrawal
i have been overcharged.,49,transaction_charged_twice
i use gbp for my salary deposits. must i set this up somewhere?,56,receiving_money
after depositing a cheque my balance did not change.,26,balance_not_updated_after_cheque_or_cash_deposit
"i don't want this account anymore, how do i delete it?",47,terminate_account
can you tell me the countries you provide support for.,76,country_support
show me how to top up,33,topping_up_by_card
i have a question about fee for cash withdraw.,72,cash_withdrawal_charge
show me how to activate my card,71,activate_my_card
my card payment failed.,45,declined_card_payment
can you tell me why my top-up was canceled?,25,top_up_reverted
how do i top up using my apple watch?,74,apple_pay_or_google_pay
any extra charges for exchanging currencies?,69,exchange_charge
what are these disposable virtual cards all about?,65,get_disposable_virtual_card
how many disposable virtual cards can you have?,34,disposable_card_limits
i am seeing a direct debit i wasn't aware of.,37,direct_debit_payment_not_recognised
i think my top up has been reverted,25,top_up_reverted
my card isn't letting me purchase something and i wanted to know why.,54,beneficiary_not_allowed
can i transfer money using a different currency?,56,receiving_money
do i have to talk to someone to close an account or can i in the app,47,terminate_account
why is there a direct debit payment on my statement that i didn't do?,37,direct_debit_payment_not_recognised
can i receive money in a different countries money?,56,receiving_money
what's going on? i was just recently charged for an atm withdrawal. i've never seen this charge before and before it's always been free.,72,cash_withdrawal_charge
which countries are represented?,76,country_support
"i need to make a purchase online, where is my virtual card?",23,getting_virtual_card
"i am getting charged fees on some payments. please help me understand, where are these fees disclosed?",20,card_payment_fee_charged
i am unable to transfer money. i believe it is not working because it states it was declined.,43,declined_transfer
why was i not able to complete my transfer?,57,failed_transfer
how long after i receive my statement can i dispute payments on it?,37,direct_debit_payment_not_recognised
i happened to forget my password,38,passcode_forgotten
i checked my account and see that funds were deducted from a seller i didn't approve of. can you help me understand?,37,direct_debit_payment_not_recognised
what is the virtual card and how can i get one?,23,getting_virtual_card
can i change my pin on my phone?,53,change_pin
"i need to set up an account for my daughter, how would i do that?",12,age_limit
i have a pending money transfer,46,pending_transfer
hoe do i use my credit card to transfer money?,33,topping_up_by_card
"my payment was rejected, do you know why?",45,declined_card_payment
remove my account immediately.,47,terminate_account
transfer could not be completed due to being declined.,43,declined_transfer
am i able to use my american express to add money to my account balance?,22,supported_cards_and_currencies
"i have used my account abroad for a while without any fees, why am i being charged additional fees all of a sudden?",55,transfer_fee_charged
"i've been waiting for something that i've ordered for months now and it still hasn't arrived. i genuinely don't know what this company is doing, but put plainly, i've had enough. please issue a refund immediately, i would not like to waste anymore of my time on these people.",42,request_refund
there has been a red flag on my top up.,66,top_up_failed
how do i cancel a purchase?,42,request_refund
i believe my card has been compromised as there are funds showing that i did not receive.,68,cash_withdrawal_not_recognised
an extra fee has been added to my card payment is this correct?,20,card_payment_fee_charged
can you tell me about why the account i have was charged an extra 1$,4,extra_charge_on_statement
my account balance has not updated to reflect my recent transfer.,67,balance_not_updated_after_bank_transfer
what should i do if my card payment was cancelled?,52,reverted_card_payment?
"my card payment was reverted, why?",52,reverted_card_payment?
how can i trade currencies with this app?,10,exchange_via_app
help me create several temp cards every day.,34,disposable_card_limits
how long will it take for my top up to work? it's still pending,16,pending_top_up
will i see fees from adding money with an international card?,70,top_up_by_card_charge
i have cash deposit to my account but it is experiencing a problem,26,balance_not_updated_after_cheque_or_cash_deposit
should i order a new card before i freeze my original one?,35,compromised_card
"i signed up, but don't have a pin. where can i find it?",31,get_physical_card
what fees do you charge for the standard card?,62,order_physical_card
can you explain why my google pay top isn't working?,74,apple_pay_or_google_pay
"i don't recognize this payment on my app, i am sure i didn't spend any money there.",27,card_payment_not_recognised
why won't my virtual card work?,63,virtual_card_not_working
there are fraudulent charges that i didn't make on my card. can you please put in the safeguards necessary to stop this from happening anymore?,35,compromised_card
can you lookup my password?,38,passcode_forgotten
where do i unblock my pin?,13,pin_blocked
is there a minimum age for having an account?,12,age_limit
what's the wait time for european transfers?,51,transfer_timing
"after i got my cash, i found out my exchange rate was wrong.",64,wrong_exchange_rate_for_cash_withdrawal
can i have my account add money automatically in certain intervals?,8,automatic_top_up
do you offer any discounts for someone who exchanges currencies frequently?,69,exchange_charge
"hi, it's urgent, please freeze my card. as someone has withdrawn money using my card in odd remote town. since i have not done this withdrawal. do it fast.",68,cash_withdrawal_not_recognised
i made a payment but the app gave the money back.,52,reverted_card_payment?
i noticed that my card was charged more than once for one thing.,49,transaction_charged_twice
"for the identity check, what kind of documents do i need to have?",75,verify_my_identity
under what condition will my payment revert?,52,reverted_card_payment?
where can i order a card?,62,order_physical_card
i'm being asked for a verification code. where do i find it?,59,verify_top_up
can i use my apple watch to top-up?,74,apple_pay_or_google_pay
i can't find the auto-top up option.,8,automatic_top_up
i didn't make this payment!,27,card_payment_not_recognised
why isn't my refund showing up?,44,Refund_not_showing_up
i don't have a pin at this point.,31,get_physical_card
i was charged a fee for a transfer.,55,transfer_fee_charged
did my transfer fail?,57,failed_transfer
why is my friend not getting a transaction arrival yet?,21,transfer_not_received_by_recipient
tried using my atm card earlier at one of your locations for the first time. it didn't work. what is going on?,39,declined_cash_withdrawal
"i'm going on holiday to france for 6 weeks with my family and the cat, fluffy. i just purchased €10,000 from a currency exchange to ensure we don't run short but there appears to be a fee. what is this for?",20,card_payment_fee_charged
how long will it take to transfer from europe?,51,transfer_timing
how many cards can i have?,60,getting_spare_card
is there a limit to top up,18,top_up_limits
do you support direct deposits from my employer?,56,receiving_money
can i hold more than one currency?,6,fiat_currency_support
"what do i do with my ""decline"" message on a transfer?",43,declined_transfer
how can i unblock my pin?,13,pin_blocked
"i deposited a cheque with some money, but the balance hasn't changed.",26,balance_not_updated_after_cheque_or_cash_deposit
my preference is mastercard.,32,visa_or_mastercard
how many transactions can i do with my disposable card?,34,disposable_card_limits
for what reason did my top-up get cancelled?,25,top_up_reverted
will a beneficiary not accept a transfer?,54,beneficiary_not_allowed
can my pin changed remotely without visiting a bank?,53,change_pin
where do i find our how to get a physical card?,62,order_physical_card
lost password,38,passcode_forgotten
is there something wrong with the transferring functions? i keep trying to transfer funds and only get an error message.,54,beneficiary_not_allowed
what types of cards and money do you accept?,22,supported_cards_and_currencies
"i could not get a top-up to work, why?",66,top_up_failed
how do i go about getting an actual card?,62,order_physical_card
why was i charged for transferring money?,55,transfer_fee_charged
my actual card isn't functioning.,9,card_not_working
why did i get charged more for using my card?,20,card_payment_fee_charged
how do i get into my account and edit my details,28,edit_personal_details
how do i get my refund back?,42,request_refund
i was just giving the wrong amount by the atm. how do i request cash back at this point? the app is showing the amount that i actually requested even though that's not what i got.,19,wrong_amount_of_cash_received
can i get a visa from you?,32,visa_or_mastercard
why is the transfer still pending? can i do something?,46,pending_transfer
"went somewhere else, need to change details",28,edit_personal_details
what's the process of changing from gbp to aud?,10,exchange_via_app
i do not see the card pin anywhere?,31,get_physical_card
are there restrictions to transfers to certain accounts?,54,beneficiary_not_allowed
is there a way to see where my money originally came from?,50,verify_source_of_funds
i want to add money automatically when i travel.,8,automatic_top_up
what is your exchange rate between uk pounds and russian rubles for my last transaction,3,card_payment_wrong_exchange_rate
explain the interbank exchange rate,2,exchange_rate
i was mistakenly charged a fee for using my card.,20,card_payment_fee_charged
what is the exchange rate for eur?,2,exchange_rate
there is a transaction showing in my app that i did not make as i have not used that card all day. please reimburse this amount to my account.,37,direct_debit_payment_not_recognised
"i have used my card online before and wasn't charged, why am i charged now",20,card_payment_fee_charged
what was the issue with my topping up?,66,top_up_failed
why do the top-ups need to be verified?,59,verify_top_up
i returned an item but don't see it on my account?,44,Refund_not_showing_up
"while on vacation in spain i think someone saw my pin and i now need to change it, can i do this at an atm in spain?",53,change_pin
"i double checked that i have the correct account details already, they're right for sure. transfer is still pending since forever. it should not have been done so.",46,pending_transfer
how can i verify my top up?,59,verify_top_up
my card has been lost / stolen,11,lost_or_stolen_card
i requested $100 but only got $20,19,wrong_amount_of_cash_received
can i use app to reset pin attempts?,9,card_not_working
which countries do you work with?,76,country_support
where can i located the auto-top up option?,8,automatic_top_up
"when i received my cash, the exchange rate was wrong.",64,wrong_exchange_rate_for_cash_withdrawal
i need a virtual card,23,getting_virtual_card
i sent money for my rent to my landlord but she is claiming it hasn't arrived in her account can you trace the transfer i made to make sure it arrived so i can provide proof i sent it and that it has been deposited?,21,transfer_not_received_by_recipient
top up keeps failing,66,top_up_failed
can i set my own top-up limit?,18,top_up_limits
i couldn't make a transfer,57,failed_transfer
can you tell me how many currencies i can hold?,6,fiat_currency_support
is topping up free?,70,top_up_by_card_charge
are top-ups allowed using apple pay?,74,apple_pay_or_google_pay
can you tell me why my transfer is pending still?,46,pending_transfer
there is a weird payment in my statement.,27,card_payment_not_recognised
"how many virtual cards can i have, i want 8",23,getting_virtual_card
is there a top up fee for transfer?,15,top_up_by_bank_transfer_charge
how do i go about getting a virtual card?,23,getting_virtual_card
"card payment is still pending, why is that the case?",40,pending_card_payment
what is this extra pound charge for?,4,extra_charge_on_statement
i need my virtual card,23,getting_virtual_card
i'm interested in what your exchange rates are based on.,2,exchange_rate
the atm kept my card?,48,card_swallowed
can i change my address?,28,edit_personal_details
there are strange transactions on my account. what should i do if i think someone stole my details?,35,compromised_card
i was supposed to get a refund but i do not see it on my statement. when is it going to be updated?,44,Refund_not_showing_up
can you tell me what i need to do for the identity check process?,75,verify_my_identity
is there a reason i need to verify top up,59,verify_top_up
what atms use this card?,36,atm_support
what steps do i have to take to change my pin?,53,change_pin
with what can i verify my identity?,75,verify_my_identity
there are two of the same charges on my account.,49,transaction_charged_twice
i wasn't able to use my top up card because the money i put on there wasn't there anymore,33,topping_up_by_card
is there a reason why a recipient might not see my money transaction,21,transfer_not_received_by_recipient
when will my top-up go through?,16,pending_top_up
where can i find my top-up verification code?,59,verify_top_up
i wondered if multiple currencies is okay?,6,fiat_currency_support
"i'd rather not use my physical card, how can i get a virtual card?",23,getting_virtual_card
how do i query a payment on my card? it looks like i have paid for the same thing twice.,49,transaction_charged_twice
"hello, i'm having trouble with my card, i don't understand what's happening, i tried using the atm machine earlier but it wasn't working but seems like the transactions is still in progress, can you cancel it for me?",5,pending_cash_withdrawal
what businesses accept my card?,24,card_acceptance
i bought the wrong size and would like a refund,42,request_refund
i need to transfer money to my account from another bank,58,transfer_into_account
my account is showing a double charge.,49,transaction_charged_twice
my transfer didn't work! help!,57,failed_transfer
where can i locate my card pin?,31,get_physical_card
do i have to pay for a physical card?,62,order_physical_card
i think i forgot my passcode,38,passcode_forgotten
"as i double checked that i have the correct account details that i submitted , they're right for sure. transfer is still pending so far.",46,pending_transfer
the atm keeps declining my transaction . i tried two different atms already can you please check if everything is okay with my account?,39,declined_cash_withdrawal
i can't see a verification code anywhere,59,verify_top_up
is there a charge for getting cash?,72,cash_withdrawal_charge
hello. how do i go about getting a refund of an item i bought ? i want to cancel the payment since i have not received the item yet.,42,request_refund
where are the virtual cards?,23,getting_virtual_card
"can google pay be used for top up, please help?",74,apple_pay_or_google_pay
can you tell me exactly what fees i will expect to see in regards to your cards?,62,order_physical_card
why is my card payment still listed as pending?,40,pending_card_payment
"i have made a payment by my card, and its still pending since a long time. could you please tell me when it will process.",40,pending_card_payment
how can i add money automatically?,8,automatic_top_up
what is the highest amount i can top-up?,18,top_up_limits
i need to urgently transfer something from china. how long will it approximately take?,51,transfer_timing
what is going on with it saying my card payment was declined?,45,declined_card_payment
why does a payment show up twice?,49,transaction_charged_twice
when i was abroad the exchange rate for me was wrong.,64,wrong_exchange_rate_for_cash_withdrawal
where can i find the auto-top up option?,8,automatic_top_up
"my salary is in gbp, do i need to exchange it before putting it into my account?",56,receiving_money
i want to choose a new pin.,53,change_pin
my account is devoid of funds. am i permitted to submit additional money via bank transfer?,58,transfer_into_account
why was i charged twice?,49,transaction_charged_twice
can i change my pin if i want to?,53,change_pin
can i change my pin in austria?,53,change_pin
"i see in the app some cash was withdrawn, but it's not mine.",68,cash_withdrawal_not_recognised
i'm not happy with service and would like to delete this account.,47,terminate_account
what do i have to do to change my pin?,53,change_pin
what may be the reason that my transfer did not go through?,57,failed_transfer
i've tried using my card multiple times and it keeps getting declined.,45,declined_card_payment
i haven't yet received money that i transferred,67,balance_not_updated_after_bank_transfer
"i needed cash today, so i used another provider's atm, and when i attempted to withdraw, it declined. i just checked it out and i'm still showing my account with that amount pending! i didn't take any money out, it was declined, so i don't want that to be processed as a withdrawal.",5,pending_cash_withdrawal
"when will i get a new card when i order it, and how much will it cost.",73,card_about_to_expire
"hi, i want to inquire about my balance. some cash was deposited and it hasn't updated yet.",26,balance_not_updated_after_cheque_or_cash_deposit
how can i tell if my top-up has been cancelled?,25,top_up_reverted
i noticed a duplicate charge on my statement.,49,transaction_charged_twice
"i need to exchange between different currencies, like gbp and usd. can i do that with your app?",10,exchange_via_app
can i use my card for online payments?,24,card_acceptance
can you change the rate for the item i bought in a different currency as it is wrong?,3,card_payment_wrong_exchange_rate
how can i change my password?,38,passcode_forgotten
i transferred some cash and it has not arrived yet.,21,transfer_not_received_by_recipient
i think you reverted my top up.,25,top_up_reverted
do you provide currency exchange to euros?,6,fiat_currency_support
how do i know what the exchange rate will be when i make an exchange.,2,exchange_rate
do you have any top-up limits?,18,top_up_limits
how long are my top ups pending,16,pending_top_up
could i get a mastercard if that's reasonable?,32,visa_or_mastercard
how is my money transferred to the account,58,transfer_into_account
my refund has not yet been credited on my statement,44,Refund_not_showing_up
"i need multiple cards per day, and they all have to be disposable.",34,disposable_card_limits
please tell me why i was charged additionally when i used the card.,20,card_payment_fee_charged
"my card was declined and i did not receive money from the atm earlier, yet it show on my account that it is pending.",5,pending_cash_withdrawal
i cannot make a transfer to another account.,54,beneficiary_not_allowed
why was i charged twice for the same transaction?,49,transaction_charged_twice
what do i do if i already had a card with you guys?,1,card_linking
"my bag was stolen from me yesterday, so i can't use any apps or anything. i need some help.",41,lost_or_stolen_phone
i can't get the card itself to work.,9,card_not_working
why does it take so long to verify my id,30,unable_to_verify_identity
did i not get my refund? i don't see it.,44,Refund_not_showing_up
where are your cards delivered to?,62,order_physical_card
will i be charged for exchanging foreign currencies?,69,exchange_charge
please help. the card won't work.,9,card_not_working
i don't see the verification code for my card transfer.,59,verify_top_up
why couldn't i transfer to a beneficiairy?,54,beneficiary_not_allowed
is a new debit card free?,60,getting_spare_card
how much does each transfer cost?,15,top_up_by_bank_transfer_charge
why was a payment i made reverted?,52,reverted_card_payment?
can i use your services without access to the app?,41,lost_or_stolen_phone
the cash i wanted wasn't there.,19,wrong_amount_of_cash_received
how old do i need to be?,12,age_limit
when i was transferring money i was charged extra why?,55,transfer_fee_charged
my daughter would like a card from my account? can i do this?,60,getting_spare_card
"i was suppose to be getting a refund for something i purchased a while ago, but it still hasnt been applied to my account. when will i get my money back?",44,Refund_not_showing_up
i need to exchange foreign currency will i be charged?,69,exchange_charge
why is my transfer stuck on pending?,46,pending_transfer
